id,trigger,conditions,script,text,options,notes
flavorTextMarketEpsilpacBruniel,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == epsilpac
$market.id == espc_bruniel_market score:100","AddText ""Massive walls loom around this desert planet's sparse pockets of industry, giving reprieve from the billowing sands of its endless dunes. Piping and machinery line the streets, scouring valuable volatiles from beneath each and every grain of sand."" marketFlavorTextColor
AddText ""Departing the shuttle, you're guided away from the stream of arriving laborers and towards the planetary station’s elevated commerce center, the din of ceaseless engines and shouted orders giving way to hushed deals and electronic confirmations."" marketFlavorTextColor",,,
,,,,,,
flavorTextMarketEpsilpacFalris,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == epsilpac
$market.id == espc_falris_market score:100","AddText ""Markets are situated in the very center of habitation platforms, with housing radiating outwards and industry situated towards the edges. The constant rumbling of tectonic activity is punctuated only by that of departing cargo shuttles, their busy traffic drawing contrail ley lines between platforms that converge over the planet's central spaceport."" marketFlavorTextColor
AddText ""Though living conditions are safer than they might appear, the hellish magmatic landscape offers little more than its industrial capacity, and the busy demeanor of its populace reflects as much."" marketFlavorTextColor",,,
flavorTextMarketEpsilpacTocquiera,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == epsilpac
$market.id == espc_tocquiera_market score:100","AddText ""Commerce is concentrated in Tocquiera's open air markets, as much of the planet's population lacks access to the sector's relays. Merchants garbed in tunics, tabards and tech-wear alike shout out offers from behind their stalls, trading credit chits for coinage. All manner of goods are exchanged, shipped off in wooden carts and shuttles."" marketFlavorTextColor
AddText ""An overwhelming experience for most, some of the local tribes offer their expertise in guidance and barter in exchange for shipments of modern amenities. Recognizing your station, the local authority directs you to a government-subsidized translator as you approach a busy square."" marketFlavorTextColor",,,
,,,,,,
,,,,,,
#END MarketFlavourText,,,,,,
,,,,,,
,,,,,,
espcHistorianBackstoryBlurb1,HistorianBackstoryBlurb,!WasHistorianBlurbShown espchistoryBlurb1,SetHistorianBlurbShownAfterDelay espchistoryBlurb1,"""Tocquiera? Or, what it's known to us by now. Its original name under the Domain has, regrettably, become obscured beneath a wealth of fractured mythos and tradition. An interesting story, perhaps one better suited for an anthropologist - although"", $heOrShe muses, nodding $hisOrHer head, ""the circumstances leading to such a question would lie well uner my purview, yes."" $HeOrShe clasps $hisOrHer hands together. ""Why no gate, for a colony so valuable and so distant?""

The historian instinctively begins to raise $hisOrHer arm, as if to call upon an eager answer, before waving in rhetorical motion.

""It's self-evident, isn't it? Especially now, given the autarky-capable nature of its present governance - a self-sufficient populace is more able to make demands, grounds ripe for dissent. And so with hyperspace transport as a sole lifeline, the Domain may keep those elements well in check. The contract here is plainly implied.""

""Of course, this ended up being no empty threat. In its dying throes, the Domain doles out a punitive measure to all like it."" $HeOrShe grimaces, underscoring the irony. ""A cruel calculus of control, laid so bare. Is it any wonder that, to this day, its ancestors refuse a foreign banner?""",,
espcHistorianBackstoryBlurb2,HistorianBackstoryBlurb,!WasHistorianBlurbShown espchistoryBlurb2,SetHistorianBlurbShownAfterDelay espchistoryBlurb2,"""Nola Ganymede. A fascinating figure, one shrouded in mystery even to those in power, their eyes and ears everywhere and yet blind and deaf to someone so crucial. As you can imagine, a favorite kind of figure for those of my profession."" $HeOrShe chuckles, as though to commiserate with $hisOrHer own. ""What could a humble itinerant archaeologist know of someone like that?""

""Though so representative of the present, perhaps of a future she might wish to see to fruition, history's patterns are inevitable. Try as some may wish, there's no escaping those."" The historian shakes $hisOrHer head. ""None of us can, truly.""

Resting $hisOrHer arm on the countertop, $heOrShe mimes revealing face-down cards; a tarot of historical precedents. ""The warrior-king - queen, in this case - noble and oft-reluctant, whose virtue upon the field is accepted as virtue upon the throne, whose inevitable crisis of succession rarely honors their wishes.""

""The triumvirate; a locus of power and expertise, upon which all machinations live, and inevitably die. And the federation, the city-state; bastions of commerce and culture, defiant in the face of dominion... a governance long lost to the grand scale of the Domain.""

""A bold vision for the future they hold, indeed."" $HeOrShe stares down, a finger tapping on the countertop - perhaps, in her mind, upon one of those cards.",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
espcAIInterceptionEncounter,BeginFleetEncounter,"$espcAIInterceptFleet score:1000
!$espcAIInterceptFleet_encounteredAlready","$espcAIInterceptFleet_encounteredAlready = true
FleetDesc
HailPlayer",,,
espcAIInterceptionEncounterComm,OpenCommLink,"$entity.espcAIInterceptFleet score:1000
!$entity.ignorePlayerCommRequests","$entity.ignorePlayerCommRequests = true
FireBest espcAIInterceptFleetInitial",,,
espcAIInterceptionEncounterStandard,espcAIInterceptFleetInitial,,,"""Hail, captain,"" the $rank says with a nod, ""and ease up. We're not looking for a fight.""

$HeOrShe blinks. ""Not without reason.""",0:espcAIInterceptionEncounterStandard2:Continue.,
espcAIInterceptionEncounterStandard2,DialogOptionSelected,$option == espcAIInterceptionEncounterStandard2,,"""We have it on good intel that an AI core can be found somewhere in a nearby volume."" $HeOrShe shakes $hisOrHer head, solemnly. 

""Highly, highly illegal under Domain jurisdiction. You wouldn't happen to know about this, would you?""","0:espcAIInterceptionEncounterStandard3a:""Yes, we found and salvaged an AI core.""
5:espcAIInterceptionEncounterStandard3b:""We came across an AI core, but left it where we discovered it.""
10:espcAIInterceptionEncounterStandard3b:""No, we wouldn't.""
15:espcAIInterceptionEncounterStandard3a:Remain silent.",
espcAIInterceptionEncounterStandard3a,DialogOptionSelected,$option == espcAIInterceptionEncounterStandard3a,,"The $rank smiles, not quite reaching $hisOrHer eyes. ""No games, then. Your honesty is appreciated.

Now, tell us. What use do you have with this core?"" $HisOrHer gaze meets yours, unblinking.","0:espcAIInterceptionEncounterStandard4Trade:""To trade it in, for credits and favors.""
5:espcAIInterceptionEncounterStandard4Colony:""It will be assigned a role in colonial administration.""
10:espcAIInterceptionEncounterStandard4Fleet:""It will make for a fine captain.""
15:espcAIInterceptionEncounterStandard4Destroy:""None. This creation of Mammon will soon find itself in the nearest black hole.
20:espcAIInterceptionEncounterStandard4NoAnswer:""Doesn't matter. I'm not giving it to you.""
25:espcAIInterceptionEncounterStandard4Deny:""What I do with it is none of your business.""",
espcAIInterceptionEncounterStandard3b,DialogOptionSelected,$option == espcAIInterceptionEncounterStandard3b,,"The $rank's eyes narrow. ""That was rhetorical, captain. We know you're in posession of a core. You'd be insane to leave one behind, no matter your intentions.

Now, be honest with us. What use do you have with this core?"" $HisOrHer gaze meets yours, unblinking.","0:espcAIInterceptionEncounterStandard4Trade:""To trade it in, for credits and favors.""
5:espcAIInterceptionEncounterStandard4Colony:""It will be assigned a role in colonial administration.""
10:espcAIInterceptionEncounterStandard4Fleet:""It will make for a fine captain.""
15:espcAIInterceptionEncounterStandard4Destroy:""None. This creation of Mammon will soon find itself in the nearest black hole.
20:espcAIInterceptionEncounterStandard4NoAnswer:""Doesn't matter. I'm not giving it to you.""
25:espcAIInterceptionEncounterStandard4Deny:""What I do with it is none of your business.""",
espcAIInterceptionEncounterStandard4NoAnswer,DialogOptionSelected,$option == espcAIInterceptionEncounterStandard4NoAnswer,,"The $rank's expression hardens. ""Oh, but it does. Between my fleet and yours, what you say next will matter - to you, to I, and certainly to your crew. Or your bottom-line, if that'll get your attention.""

$HisOrHer voice turns cold, like ice. ""Now, answer.""","0:espcAIInterceptionEncounterStandard4Trade:""To trade it in, for credits and favors.""
5:espcAIInterceptionEncounterStandard4Colony:""It will be assigned a role in colonial administration.""
10:espcAIInterceptionEncounterStandard4Fleet:""It will make for a fine captain.""
15:espcAIInterceptionEncounterStandard4Destroy:""None. This creation of Mammon will soon find itself in the nearest black hole.
20:espcAIInterceptionEncounterStandard4Deny:""What I do with it is none of your business.""",
espcAIInterceptionEncounterStandard4Trade,DialogOptionSelected,$option == espcAIInterceptionEncounterStandard4Trade,,"""A mercenary, through and through, then. Is there no appealing to your better nature?"" $HisOrHer tone softens, though the rest of $hisOrHer demeanour remains uncannily consistent. ""We don't need to see this core thrown to the wolves, sold into slavery or destroyed by fanatics. Can there not be something better? A fairer world, both for us and for your captive?""

Despite the act, you sense an undercurrent of conviction in $hisOrHer voice - or perhaps that's what $heOrShe wants you to believe. ""We don't have to work against each other. Our forces combined - if you choose to do the right thing.""","0:espcAIInterceptionEncounterStandard4Trade:""To trade it in, for credits and favors.""
5:espcAIInterceptionEncounterStandard4Colony:""It will be assigned a role in colonial administration.""
10:espcAIInterceptionEncounterStandard4Fleet:""It will make for a fine captain.""
15:espcAIInterceptionEncounterStandard4Destroy:""None. This creation of Mammon will soon find itself in the nearest black hole.
20:espcAIInterceptionEncounterStandard4Deny:""What I do with it is none of your business.""",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
gaPZTriTachEncounterComm,OpenCommLink,"$entity.gaPZ_tritachyon score:1000
!$entity.ignorePlayerCommRequests
ZigguratCMD updateData","$entity.ignorePlayerCommRequests = true
FireBest GAPZTTInitial",,,
gaPZTriTachEncounterStandard,GAPZTTInitial,,FireAll GAPZTTHub,"""Good shift, captain,"" the Tri-Tachyon $rank says crisply. ""You possess property belonging to the Tri-Tachyon Corporation and I have come to recover it. Surrender the Ziggurat-class TTS Xenorphica to me at once.""

$HeOrShe locks you with an unblinking gaze, awaiting your response.",,
gaPZTriTachEncounterNoZig,GAPZTTInitial,!$entity.hasZiggurat,FireBest GAPZTTInitialCont,"""Good shift, captain,"" the Tri-Tachyon $rank says crisply. ""Long-range sensors recently detected a certain Ziggurat-class TTS Xenorphica in your fleet; this is property of the Tri-Tachyon Corporation.""

$HisOrHer eyes flick down, reading from a screen ""Let this statement be notice that the Tri-Tachyon Corporation considers legitimate all appropriate and necessary means to recover property belonging to said company, including use of militarized force, employment of mercenaries or privateers, et cetera.""",,
gaPZTriTachEncounterOnlyZig,GAPZTTInitial,$entity.hasOnlyZiggurat,FireBest GAPZTTInitialCont,"""Good shift, captain,"" the Tri-Tachyon $rank says crisply. ""You possess property belonging to the Tri-Tachyon Corporation.""

$HisOrHer eyes flick down, reading from a screen ""Let this statement be notice that the Tri-Tachyon Corporation considers legitimate all appropriate and necessary means to recover property belonging to said company, including use of militarized force, employment of mercenaries or privateers, et cetera.""",,
gaPZTriTachEncounterInitialCont,GAPZTTInitialCont,,"MakeOtherFleetNonHostile gaPZ true
MakeOtherFleetImportant gaPZ false
MakeOtherFleetGoAway true","The Tri-Tachyon $rank looks back at you directly, without emotion. ""Consider this ample warning.""
The comms cut. The Tri-Tachyon logo spins while a synthesized voice asks you to submit feedback on your customer experience. ",cutCommLinkNoText:Continue,
GAPZTTHub1,GAPZTTHub,!$gaPZ_ttHubSal,,,"gaPZ_ttHubSal:""Haven't you heard of salvage rights?""",
GAPZTTHub2,GAPZTTHub,,,,"gaPZ_ttHubPry:""You're going to have to pry it from my cold, dead hands.""",
GAPZTTHub3,GAPZTTHub,,,,"gaPZ_ttHubThreat:""What does the Hegemony think of this flying treaty violation?""",
GAPZTTHub4,GAPZTTHub,,,,"gaPZ_ttHubPay:""How about payment? Perhaps a finder's fee?""",
GAPZTTHub5,GAPZTTHub,,,,"gaPZ_ttHubAccept:""I'll transfer command protocols at once."" (accept)",
gaPZ_ttHubSal,DialogOptionSelected,$option == gaPZ_ttHubSal,"$gaPZ_ttHubSal = true 0
FireAll GAPZTTHub","""We are well aware of the rights of salvage, captain,"" $heOrShe says, jaw tightening ""But the Company views these as exceptional circumstances. A great deal of proprietary research has gone into that hull, and the Company expects to make good on its investment.""",,
gaPZ_ttHubPryStronger,DialogOptionSelected,"$option == gaPZ_ttHubPry
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true,"""Gladly,"" says the Tri-Tachyon $rank with vicious satisfaction. The comms go dark.",cutCommLinkNoText:Continue,
gaPZ_ttHubPryWeaker,DialogOptionSelected,"$option == gaPZ_ttHubPry
$entity.relativeStrength < 0","AdjustRep tritachyon VENGEFUL -75
MakeOtherFleetNonHostile gaPZ true
MakeOtherFleetImportant gaPZ false
MakeOtherFleetGoAway true","The Tri-Tachyon $rank swallows uncomfortably, then says ""That won't be necessary. We are running a business, not a slaughterhouse.""

$HeOrShe pauses for a moment, unsure of how to proceed, then speaks. ""You're making a terrible mistake, captain,"" $heOrShe says. ""If that's what it comes to- a word of advice: the Tri-Tachyon Corporation is bigger than you, it's bigger than any person. It's bigger than all people, because it forms something greater than the sum of its components, human and otherwise.""

""You'll never win."" And with that, the Tri-Tachyon $rank cuts the comms as $hisOrHer fleet moves to disengage.",cutCommLinkNoText:Continue,
gaPZ_ttHubThreat,DialogOptionSelected,$option == gaPZ_ttHubThreat,,"The Tri-Tachyon $rank seems caught cold, and pauses to swallow uncomfortably.

""I don't, um. The Tri-Tachyon Corporation makes no admission of responsibility or guilt in any matter covered by the cycle 194 Treaty of Crom Cruach,"" $heOrShe say automatically. ""This conversation does not confirm or deny any speculation on your part as to the nature of the Tri-Tachyon property in question.""

A cough. ""I must reiterate my demand: return the TTS Xenorphica.""",gaPZ_ttHubThreat1:Threaten to give the Hegemony access to the Ziggurat hull,
gaPZ_ttHubThreat1,DialogOptionSelected,$option == gaPZ_ttHubThreat1,"AdjustRep tritachyon INHOSPITABLE -25
MakeOtherFleetNonHostile gaPZ true
MakeOtherFleetImportant gaPZ false
MakeOtherFleetGoAway true","The Tri-Tachyon $rank's face seems to freeze in place as you explain that, in your opinion, the technology on this ship definitely appears to break the Treaty of Crom Cruach, which ended the 2nd AI War. That is, it would if it were developed by Tri-Tachyon. 

And if the Hegemony Ministry of Technology Standards hypothetically received your survey of a Tri-Tachyon black site, the so-called ""Alpha Site"", where such technology was developed.

Hypothetically.

""We'll be in touch,"" the $rank hisses. The comm cuts to a Tri-Tachyon logo.",cutCommLinkNoText:Continue,
gaPZ_ttHubPay,DialogOptionSelected,$option == gaPZ_ttHubPay,Highlight $entity.ttZigBuyPrice,"The Tri-Tachyon $rank smiles, ""Now we're talking business, captain."" $HeOrShe quickly consults a TriPad, then says ""I'm prepared to offer $entity.ttZigBuyPrice credits as a 'consulting fee' in assisting in the recovery of the TTS Xenomorphica.""","gaPZ_ttHubPayAccept:Accept
gaPZ_ttHubPayDecline:Decline",
gaPZ_ttHubPayDecline,DialogOptionSelected,$option == gaPZ_ttHubPayDecline,FireAll GAPZTTHub,,,
gaPZ_ttHubPayAccept,DialogOptionSelected,$option == gaPZ_ttHubPayAccept,"AdjustRep tritachyon COOPERATIVE 15
AddCredits $entity.ttZigBuyPrice
RemoveShip $entity.zigguratMember
AddShipToOtherFleet $entity.zigguratMember
MakeOtherFleetNonHostile gaPZ true
MakeOtherFleetImportant gaPZ false
MakeOtherFleetGoAway true","Once you signal agreement, the Tri-Tachyon officer is all cheer. $HeOrShe transfers the lordly sum of credits to you in exchange for the command codes of the Ziggurat-class hull.

$Rank $PersonName looks at you over the top of $hisOrHer TriPad, ""Your discretion in this matter is assumed, of course,"" and gives another flinty smile. ""It's been a pleasure doing business with you, captain.""",cutCommLinkNoText:Continue,
gaPZ_ttHubAccept,DialogOptionSelected,$option == gaPZ_ttHubAccept,"Highlight $entity.ttZigLowBuyPrice
AdjustRep tritachyon COOPERATIVE 30
AddCredits $entity.ttZigLowBuyPrice
RemoveShip $entity.zigguratMember
AddShipToOtherFleet $entity.zigguratMember
MakeOtherFleetNonHostile gaPZ true
MakeOtherFleetImportant gaPZ false
MakeOtherFleetGoAway true","The Tri-Tachyon $rank seems caught off guard by your ready agreement.

""I, I mean of course. The Tri-Tachyon Corporation thanks you for your cooperation in this matter. We shall of course arrange for a token payment for the recovery of company property - ah, of $entity.ttZigLowBuyPrice credits."" $HeOrShe looks at you over the top of a TriPad, ""Your discretion in this matter is assumed, of course.""
 
The transfer of executive command functions proceeds smoothly.",cutCommLinkNoText:Continue,
,,,,,,
,,,,,,
,,,,,,
espcPactMarketPostWeirdHullmods,MarketPostDock,"$faction.id == epsilpac
!$failedWeirdHullmodCheck
!$faction.isHostile
$player.transponderOn
$player.espcWeirdHullmodWarnings < 0
$player.encounteredWeird score:100",FireBest espcPactMarketWeirdHullmodCheck,,,
espcPactMarketPostWeirdHullmods2,FireBest espcPactMarketWeirdHullmodCheck,PlayerFleetHasShroudedShips,"$option = espcPactMarketWeirdHullmodCheckBegin 0
FireBest DialogOptionSelected",,,
espcPactMarketPostWeirdHullmods3,espcPactMarketWeirdHullmodCheck,,"$failedWeirdHullmodCheck = true 1
FireBest MarketPostDock",,,
espcPactMarketWeirdHullmods4,DialogOptionSelected,$option == espcPactMarketWeirdHullmodCheckBegin,,"Your notice a reaction from your comms officer, as the usual traffic clearance procedure is interrupted.

""$PlayerSirOrMadam. The port authority wishes to, um, speak to you. Personally.""",espcPactMarketWeirdBegin:Continue,
espcPactMarketWeirdBegin,DialogOptionSelected,$option == espcPactMarketWeirdBegin,"BeginConversation POST:portmaster
$option = espcPactMarket_weird1 0
FireBest DialogOptionSelected",,,
espcPactMarketWeird1,DialogOptionSelected,$option == espcPactMarket_weird1 ,,"The $post looks like they've seen a ghost.

""Captain $playerLastName, by the grace of holy Ludd and all that is blessed, what unholy creation have you brought here? What have you done to your $shipOrFleet?""

The questions are rhetorical, judging by the chimes and pings from your tactical officer's console- targeting alerts from defense batteries.",espcPactMarket_weird2:Continue,
espcPactMarketWeirdOutro,DialogOptionSelected,$option == espcPactMarket_weird2,"AdjustRep epsilpac HOSTILE -200
AddTextSmall ""Hostility due to use of unusual modifications"" bad
SetShortcut espcPactMarket_weirdEnd ""ESCAPE""","""The curates technologia have already passed judgement on your... your unholy combination of human craft and demonic 'technology',"" $heOrShe says.

""Go now from this place and never return! Take your technological abominations and be accursed in the eyes of God and the Church. You are henceforth an abomination to be destroyed on sight!""

$HeOrShe clasps $hisOrHer hands together, mumbling some prayer.",espcPactmarket_weirdEnd:Cut the link,
espcPactmarketWeirdOutroCom,DialogOptionSelected,"$option == espcPactmarket_weird2
$player.fcm_faction == epsilpac","AdjustRep luddic_church HOSTILE -200
AddTextSmall ""Hostility due to use of unusual modifications"" bad
AddTextSmall ""Church of Galactic Redemption commission revoked"" bad
SetShortcut espcPactmarket_weirdEnd ""ESCAPE""","""The curates technologia have already passed judgement on your... your unholy combination of human craft and demonic 'technology',"" $heOrShe says. ""Your commission is revoked.""

""Go now from this place and never return! Take your technological abominations and be accursed in the eyes of God and the Church. You are henceforth an abomination to be destroyed on sight!""

$HeOrShe clasps $hisOrHer hands together, mumbling some prayer.",espcPactmarket_weirdEnd:Cut the link,
CGRmarketWeirdOutroFaith,DialogOptionSelected,"$option == CGRmarket_weird2
$player.fcm_faction != luddic_church
$player.mostLuddicEthosFaithful","AdjustRep luddic_church HOSTILE -200
AddTextSmall ""Hostility due to use of unusual modifications"" bad
AddTextSmall ""Excommunicated from the Church of Galactic Redemption"" bad
$player.excommunicatedFromChurch = true
SetShortcut CGRmarket_weirdEnd ""ESCAPE""","""The curates technologia have already passed judgement on your... your unholy combination of human craft and demonic 'technology',"" $heOrShe says. ""You are excommunicated, declared outlaw and enemy of the Faith.""

""Go now from this place and never return! Take your technological abominations and be accursed in the eyes of God and the Church. You are henceforth an abomination to be destroyed on sight!""

$HeOrShe clasps $hisOrHer hands together, mumbling some prayer.",CGRmarket_weirdEnd:Cut the link and take evasive action,
CGRmarketWeirdOutroComFaith,DialogOptionSelected,"$option == CGRmarket_weird2
$player.fcm_faction == luddic_church
$player.mostLuddicEthosFaithful","AdjustRep luddic_church HOSTILE -200
AddTextSmall ""Hostility due to use of unusual modifications"" bad
AddTextSmall ""Church of Galactic Redemption commission revoked"" bad
AddTextSmall ""Excommunicated from the Church of Galactic Redemption"" bad
$player.excommunicatedFromChurch = true
SetShortcut CGRmarket_weirdEnd ""ESCAPE""","""The curates technologia have already passed judgement on your... your unholy combination of human craft and demonic 'technology',"" $heOrShe says. ""Your commission is revoked. You are excommunicated, declared outlaw and enemy of the Faith.""

""Go now from this place and never return! Take your technological abominations and be accursed in the eyes of God and the Church. You are henceforth an abomination to be destroyed on sight!""

$HeOrShe clasps $hisOrHer hands together, mumbling some prayer.",CGRmarket_weirdEnd:Cut the link and take evasive action,
CGRmarketWeirdEnd,DialogOptionSelected,$option == CGRmarket_weirdEnd,"$player.didespcPactweirdHullmodReaction = true 1
EndConversation DO_NOT_FIRE
DismissDialog",,,
,,,,,,
# Church fleet sees weird hullmods,,#$entity.isWarFleet,,,,
greetingCGRweirdHM,OpenCommLink,"$faction.id == luddic_church
!$failedWeirdHullmodCheck
!$faction.isHostile
!$player.didCGRweirdHullmodReaction
$player.encounteredWeird
#$player.transponderOn",FireBest CGRpatrolWeirdHullmodCheck,,,
#CGRpatrolWeirdHullmods1,CGRpatrolWeirdHullmodCheck,PlayerFleetHasFragmentShips,"$option = CGRpatrol_weirdMods0 0
FireBest DialogOptionSelected",,,
CGRpatrolWeirdHullmods2,CGRpatrolWeirdHullmodCheck,PlayerFleetHasShroudedShips,"$option = CGRpatrol_weirdMods0 0
FireBest DialogOptionSelected",,,
CGRpatrolWeirdHullmods3,CGRpatrolWeirdHullmodCheck,,"$failedWeirdHullmodCheck = true 1
FireBest OpenCommLink",,,
CGRpatrolWeirdMods0unknown,DialogOptionSelected,"$option == CGRpatrol_weirdMods0
!$entity.knowWhoPlayerIs",FireAll MostLuddicEthosRefresh,"""The blessing of Ludd be upon-"" The $post's eyes go suddenly wide at a red flash from a secondary display.

""By the holy pneuma,"" $heOrShe gasps.","CGRpatrol_weirdModsEnd2unknown:""Is there a problem, $post?""",
CGRpatrolWeirdModsUnknownEnd,DialogOptionSelected,"$option == CGRpatrol_weirdModsEnd2unknown
$entity.relativeStrength >= 0","AddTextSmall ""Hostility due to use of unusual modifications"" bad
AdjustRep luddic_church HOSTILE -30
MakeOtherFleetHostile true
MakeOtherFleetAggressive true
$entity.ignorePlayerCommRequests = true 0
EndConversation
ShowDefaultVisual","""An abomination, a devil-$shipOrFleet from Hell itself is before us! We pray to Providence to pass this test which has been given unto our unworthy-""

The $post's words are for $hisOrHer crew, not you, and the link shudders into static. The last image you see are hands clasped in prayer.",,
CGRpatrolWeirdModsUnknownEndWeaker,DialogOptionSelected,"$option == CGRpatrol_weirdModsEnd2unknown
$entity.relativeStrength < 0","AddTextSmall ""Hostility due to use of unusual modifications"" bad
AdjustRep luddic_church HOSTILE -30
MakeOtherFleetHostile true
MakeOtherFleetGoAway
MakeOtherFleetAllowDisengage true
$entity.ignorePlayerCommRequests = true 0
EndConversation
ShowDefaultVisual","""An abomination, a devil-$shipOrFleet from Hell itself is before us! We pray to Providence to pass this test which has been given unto our unworthy-""

The $post's words are for $hisOrHer crew, not you, and the link shudders into static. The last image you see are hands clasped in prayer.",,
CGRpatrolWeirdModsUnknownEndTrade,DialogOptionSelected,"$option == CGRpatrol_weirdModsEnd2unknown
$entity.isTradeFleet score:100","AddTextSmall ""Hostility due to use of unusual modifications"" bad
AdjustRep luddic_church HOSTILE -30
MakeOtherFleetHostile true
MakeOtherFleetGoAway
MakeOtherFleetAllowDisengage true
$entity.ignorePlayerCommRequests = true 0
EndConversation
ShowDefaultVisual","""An abomination, a devil-$shipOrFleet from Hell itself is before us! We pray to Providence to pass this test which has been given unto our unworthy-""

The $post's words are for $hisOrHer crew, not you, and the link shudders into static. The last image you see are hands clasped in prayer.",,
CGRpatrolWeirdMods0,DialogOptionSelected,$option == CGRpatrol_weirdMods0,,"""The blessing of Ludd be upon-"" The $post's eyes go suddenly wide at a red flash from a secondary display.

""By the holy pneuma,"" $heOrShe gasps.","CGRpatrol_weirdMods1:""Is there a problem, $post?""",
CGRpatrolWeirdMods1,DialogOptionSelected,$option == CGRpatrol_weirdMods1,,"""What by blessed Ludd's holy right glove have you done to your $shipOrFleet? Is that the cursed work of Moloch my eyes do perceive in your $shipOrFleet?""

$HeOrShe looks over $hisOrHer shoulder, ""Summon the subcurate technologia! For immediate consultation!""

The $post turns back to you. ""You have but a moment to explain what my sensors suggest, captain."" ","CGRpatrol_weirdMods2a:""Is it my... unique modifications you object to?""
CGRpatrol_weirdMods2b:""There seems to be some kind of misunderstanding.""
CGRpatrol_weirdMods2c:""What exactly do your sensors suggest?""",
CGRpatrolWeirdMods2a,DialogOptionSelected,$option == CGRpatrol_weirdMods2a,,"""Unique mod-"" $HeOrShe sputters.

""It is devilry! You've joined human craft with abomination. It is an unholy thing!""  $HeOrShe makes some kind of hurry-up hand signal over $hisOrHer shoulder.

""You condemn your soul to the abyss. And you condemn yourself as mortal enemy to the Church and accursed in the eyes of God and all who hold faith."" $HisOrHer expression is grim.

The $post turns and exchanges a few words with someone you can't see.",CGRpatrol_weirdMods3:Continue,
CGRpatrolWeirdMods2b,DialogOptionSelected,$option == CGRpatrol_weirdMods2b,,"""Methinks there is not, $playerSirOrMadam, and you merely dissemble with a devil's tongue to gain advantage."" $HeOrShe makes some kind of hurry-up hand signal over $hisOrHer shoulder.

""Judgement shall be pronounced ere long upon what my heart fears.""

The $post turns and exchanges a few words with someone you can't see.",CGRpatrol_weirdMods3:Continue,
CGRpatrolWeirdMods2c,DialogOptionSelected,$option == CGRpatrol_weirdMods2c,,"""Overt devilry. You've combined human craft with abomination."" $HeOrShe makes some kind of hurry-up hand signal over $hisOrHer shoulder.

""By this unholy 'technology' you condemn your soul to the abyss. And you condemn yourself as mortal enemy to the Church, accursed in the eyes of God and all who hold faith!""

The $post turns and exchanges a few words with someone you can't see.",CGRpatrol_weirdMods3:Continue,
CGRpatrolWeirdMods3,DialogOptionSelected,$option == CGRpatrol_weirdMods3,FireAll CGRpatrolWeirdModsOpts,"""You're certain?"" $heOrShe asks. $HisOrHer face has gone pale, as if $heOrShe has been informed that $heOrShe has been condemned.

The briefest flash of emotions: pain, fear, outrage, sadness, acceptance. The eyes that turn back to the comm-link are that of an enemy across battle-lines.",,
CGRpatrolWeirdModsOpt3a,CGRpatrolWeirdModsOpts,$player.fcm_faction == luddic_church,,,"CGRpatrol_weirdModsOpt3aSel:""I am commissioned by the Church!""",
CGRpatrolWeirdModsOpt3b,CGRpatrolWeirdModsOpts,$player.luddicAttitudeFaithful,,,"CGRpatrol_weirdModsOpt3bSel:""Hold your condemnation for a moment, for I share your Faith.""",
CGRpatrolWeirdModsOpt3c,CGRpatrolWeirdModsOpts,,,,"CGRpatrol_weirdModsOpt3cSel:""Let's discuss this before jumping to conclusions...""",
CGRpatrolWeirdModsOpt3d,CGRpatrolWeirdModsOpts,,,,"CGRpatrol_weirdModsOpt3dSel:""Perhaps we come to an 'arrangement'? Just name a price...""",
CGRpatrolWeirdModsOpt3e,CGRpatrolWeirdModsOpts,$player.luddicAttitudeCynical,,,"CGRpatrol_weirdModsOpt3eSel:""This is an irrational outburst, $post.""",
CGRpatrolWeirdModsOpt3aSel,DialogOptionSelected,$option == CGRpatrol_weirdModsOpt3aSel,"$option = CGRpatrol_weirdModsEnd1 0
FireBest DialogOptionSelected","""You are no longer,"" $heOrShe says.",,
CGRpatrolWeirdModsOpt3bSel,DialogOptionSelected,$option == CGRpatrol_weirdModsOpt3bSel,"$option = CGRpatrol_weirdModsEnd1 0
FireBest DialogOptionSelected","""I abjure your heresy ,"" $heOrShe says.",,
CGRpatrolWeirdModsOpt3cSel,DialogOptionSelected,$option == CGRpatrol_weirdModsOpt3cSel,"$option = CGRpatrol_weirdModsEnd1 0
FireBest DialogOptionSelected",,,
CGRpatrolWeirdModsOpt3dSel,DialogOptionSelected,$option == CGRpatrol_weirdModsOpt3dSel,"$option = CGRpatrol_weirdModsEnd1 0
FireBest DialogOptionSelected","""Corruptor, mammonite!"" $heOrShe spits.",,
CGRpatrolWeirdModsOpt3eSel,DialogOptionSelected,$option == CGRpatrol_weirdModsOpt3eSel,"$option = CGRpatrol_weirdModsEnd1 0
FireBest DialogOptionSelected",,,
